student_id,student_type,item_id,skill_id,correct,step,timestamp
1,weak_tone,105,5,0,0,2026-06-02 00:00:00
1,weak_tone,101,0,1,1,2026-06-02 01:00:00
1,weak_tone,104,7,1,2,2026-06-02 02:00:00
1,weak_tone,102,1,0,3,2026-06-02 03:00:00
1,weak_tone,105,5,0,4,2026-06-02 04:00:00
1,weak_tone,104,7,0,5,2026-06-02 05:00:00
1,weak_tone,101,0,0,6,2026-06-02 06:00:00
1,weak_tone,101,0,1,7,2026-06-02 07:00:00
1,weak_tone,103,4,0,8,2026-06-02 08:00:00
1,weak_tone,103,4,1,9,2026-06-02 09:00:00
1,weak_tone,102,1,1,10,2026-06-02 10:00:00
1,weak_tone,104,7,1,11,2026-06-02 11:00:00
1,weak_tone,104,7,1,12,2026-06-02 12:00:00
1,weak_tone,103,4,0,13,2026-06-02 13:00:00
1,weak_tone,104,7,1,14,2026-06-02 14:00:00
1,weak_tone,107,9,0,15,2026-06-02 15:00:00
1,weak_tone,104,7,1,16,2026-06-02 16:00:00
1,weak_tone,108,10,1,17,2026-06-02 17:00:00
1,weak_tone,101,0,1,18,2026-06-02 18:00:00
1,weak_tone,103,4,1,19,2026-06-02 19:00:00
1,weak_tone,105,5,0,20,2026-06-02 20:00:00
1,weak_tone,103,4,1,21,2026-06-02 21:00:00
1,weak_tone,107,9,0,22,2026-06-02 22:00:00
1,weak_tone,105,5,0,23,2026-06-02 23:00:00
1,weak_tone,101,0,1,24,2026-06-02 24:00:00
1,weak_tone,107,9,1,25,2026-06-02 25:00:00
1,weak_tone,102,1,0,26,2026-06-02 26:00:00
1,weak_tone,104,7,1,27,2026-06-02 27:00:00
1,weak_tone,101,0,1,28,2026-06-02 28:00:00
1,weak_tone,104,7,1,29,2026-06-02 29:00:00
1,weak_tone,106,8,1,30,2026-06-02 30:00:00
1,weak_tone,102,1,1,31,2026-06-02 31:00:00
1,weak_tone,102,1,1,32,2026-06-02 32:00:00
1,weak_tone,101,0,1,33,2026-06-02 33:00:00
1,weak_tone,102,1,1,34,2026-06-02 34:00:00
1,weak_tone,110,12,1,35,2026-06-02 35:00:00
1,weak_tone,107,9,1,36,2026-06-02 36:00:00
1,weak_tone,109,11,1,37,2026-06-02 37:00:00
1,weak_tone,109,11,1,38,2026-06-02 38:00:00
1,weak_tone,109,11,0,39,2026-06-02 39:00:00
1,weak_tone,109,11,1,40,2026-06-02 40:00:00
1,weak_tone,110,12,0,41,2026-06-02 41:00:00
1,weak_tone,108,10,1,42,2026-06-02 42:00:00
1,weak_tone,111,13,1,43,2026-06-02 43:00:00
1,weak_tone,106,8,1,44,2026-06-02 44:00:00
1,weak_tone,109,11,1,45,2026-06-02 45:00:00
1,weak_tone,107,9,1,46,2026-06-02 46:00:00
1,weak_tone,109,11,1,47,2026-06-02 47:00:00
1,weak_tone,107,9,1,48,2026-06-02 48:00:00
1,weak_tone,111,13,1,49,2026-06-02 49:00:00
2,weak_tone,102,1,1,0,2026-06-02 00:00:00
2,weak_tone,102,1,1,1,2026-06-02 01:00:00
2,weak_tone,105,5,0,2,2026-06-02 02:00:00
2,weak_tone,101,0,0,3,2026-06-02 03:00:00
2,weak_tone,105,5,1,4,2026-06-02 04:00:00
